epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,292.38,1.29724,3.3587,1.46872,0.62201,0.41538,0.45455,0.35956,0.7053,3.07928,1.06169,7.5e-05,7.5e-05,7.5e-05
2,556.744,0.86111,1.53942,1.15587,0.63921,0.87793,0.81758,0.66407,0.71833,2.84182,1.00802,0.000159282,0.000159282,0.000159282
3,817.235,0.78198,1.01742,1.06759,0.86907,0.89272,0.92906,0.76721,0.71979,1.35784,0.94437,0.0002401,0.0002401,0.0002401
4,1076.72,0.77303,0.85257,1.03825,0.82424,0.78074,0.83021,0.70131,0.69104,1.28265,0.96664,0.000317452,0.000317452,0.000317452
5,1345.89,0.72885,0.798,1.02077,0.8891,0.90319,0.93115,0.762,0.731,0.97899,0.96073,0.00039134,0.00039134,0.00039134
6,1631.33,0.75158,0.71893,1.00063,0.93683,0.8131,0.92646,0.7307,0.80757,0.96623,1.04357,0.000461763,0.000461763,0.000461763
7,1909.57,0.72674,0.66133,1.0038,0.87958,0.82544,0.92654,0.70317,0.88637,1.22763,1.1161,0.00052872,0.00052872,0.00052872
8,2175.77,0.74815,0.65343,1.0181,0.8329,0.80365,0.90126,0.70613,0.85608,1.47169,1.11589,0.000592213,0.000592213,0.000592213
9,2437.6,0.74698,0.64872,1.02846,0.93496,0.71732,0.84208,0.67857,0.82337,1.08761,1.06953,0.00065224,0.00065224,0.00065224
10,2700.61,0.72624,0.62114,0.98116,0.90012,0.74192,0.84514,0.6639,0.82456,0.95816,1.09511,0.000708803,0.000708803,0.000708803
11,2971.42,0.7288,0.63196,1.02494,0.81641,0.76644,0.8578,0.67995,0.84344,1.12895,1.09223,0.0007619,0.0007619,0.0007619
12,3229.46,0.73384,0.61629,0.99328,0.82129,0.73541,0.84632,0.65297,0.86712,1.28541,1.06717,0.000811533,0.000811533,0.000811533
13,3487.55,0.73649,0.60212,1.03079,0.81697,0.81399,0.83627,0.65751,0.9229,1.15158,1.12905,0.0008577,0.0008577,0.0008577
14,3753.61,0.75094,0.60046,1.01682,0.8094,0.78336,0.84263,0.63737,0.96758,1.17454,1.20952,0.000900402,0.000900402,0.000900402
15,4019.78,0.71964,0.59243,1.01541,0.92954,0.83589,0.93092,0.66963,0.95397,0.85134,1.18108,0.0009035,0.0009035,0.0009035
16,4287.37,0.68105,0.53849,0.97879,0.89926,0.87072,0.90202,0.66742,0.91307,0.85017,1.17197,0.00087875,0.00087875,0.00087875
17,4560.93,0.63414,0.51157,0.96603,0.87825,0.8902,0.9275,0.69619,0.88307,0.79197,1.10207,0.000854,0.000854,0.000854
18,4830.2,0.68733,0.56271,1.00877,0.9681,0.88384,0.97092,0.74812,0.8329,0.67852,1.06608,0.00082925,0.00082925,0.00082925
19,5095.39,0.68008,0.54107,0.98477,0.90649,0.92071,0.97212,0.73705,0.81991,0.6855,1.05511,0.0008045,0.0008045,0.0008045
20,5358.92,0.68674,0.53628,0.98809,0.9494,0.8428,0.92353,0.72162,0.86568,0.77079,1.0582,0.00077975,0.00077975,0.00077975
21,5620.26,0.679,0.52362,0.97865,0.9148,0.86163,0.91675,0.6999,0.85646,0.82888,1.06861,0.000755,0.000755,0.000755
22,5889.74,0.62498,0.47095,0.98417,0.8945,0.88888,0.9371,0.74183,0.80615,0.75707,0.98905,0.00073025,0.00073025,0.00073025
23,6155.37,0.6211,0.49369,0.96099,0.95243,0.86177,0.94329,0.74507,0.80679,0.6801,0.98917,0.0007055,0.0007055,0.0007055
24,6420.9,0.6161,0.48819,0.98366,0.87367,0.91016,0.939,0.70879,0.89089,0.96364,1.0743,0.00068075,0.00068075,0.00068075
25,6687.32,0.63168,0.46549,0.96918,0.90979,0.90647,0.95376,0.72911,0.86726,0.74532,1.05025,0.000656,0.000656,0.000656
26,6954.57,0.63214,0.48607,0.97639,0.88602,0.92315,0.9555,0.7329,0.84892,0.65225,1.04123,0.00063125,0.00063125,0.00063125
27,7217.24,0.61601,0.4608,0.97568,0.8907,0.90577,0.92607,0.72406,0.81197,0.74209,1.02422,0.0006065,0.0006065,0.0006065
28,7472.69,0.59021,0.43855,0.95982,0.95172,0.89373,0.93484,0.75146,0.78455,0.70782,1.01661,0.00058175,0.00058175,0.00058175
29,7730.42,0.58486,0.43608,0.95969,0.92924,0.89776,0.93485,0.74998,0.79367,0.69599,1.01607,0.000557,0.000557,0.000557
30,7996.83,0.57621,0.43254,0.96668,0.87153,0.92115,0.9321,0.74702,0.79623,0.68364,1.00734,0.00053225,0.00053225,0.00053225
31,8253.09,0.60671,0.43434,0.95869,0.89389,0.8991,0.93082,0.74767,0.79713,0.63213,1.0117,0.0005075,0.0005075,0.0005075
32,8514.41,0.55923,0.41568,0.93339,0.93484,0.90752,0.93054,0.74073,0.77636,0.61682,1.00535,0.00048275,0.00048275,0.00048275
33,8774.99,0.56328,0.42033,0.93665,0.9016,0.92144,0.9347,0.75234,0.7628,0.60439,0.99408,0.000458,0.000458,0.000458
34,9037.3,0.58367,0.4256,0.93641,0.95985,0.89847,0.9389,0.76864,0.76281,0.58026,0.96948,0.00043325,0.00043325,0.00043325
35,9297.88,0.55996,0.40765,0.92824,0.95311,0.92013,0.93507,0.7653,0.77234,0.56613,0.9828,0.0004085,0.0004085,0.0004085
36,9559.78,0.52176,0.39463,0.91513,0.9375,0.91241,0.93556,0.75953,0.74757,0.55982,0.98266,0.00038375,0.00038375,0.00038375
37,9827.66,0.53199,0.38031,0.91991,0.93337,0.91375,0.92898,0.76391,0.73976,0.55873,0.97934,0.000359,0.000359,0.000359
38,10081.5,0.53667,0.38463,0.94066,0.89853,0.93016,0.93851,0.76876,0.72708,0.57586,0.97223,0.00033425,0.00033425,0.00033425
39,10348.5,0.51653,0.37254,0.92418,0.9379,0.93447,0.94088,0.78388,0.71944,0.59366,0.95621,0.0003095,0.0003095,0.0003095
40,10614.4,0.50077,0.37646,0.91685,0.93837,0.93407,0.94634,0.77881,0.70441,0.57306,0.94395,0.00028475,0.00028475,0.00028475
